nodeId,labels,name,preferredTerm,fsn,conceptType,synonyms,category,difficulty,cuisineType,prepTime,cookTime,servings,tags,filePath,amount,unit,isMain,description,stepNumber,methods,tools,timeEstimate
201000029,Ingredient,酱油,酱油,,Ingredient,,调料,,,,,,,,25,mL,False,,,,,
201000030,Ingredient,芝麻油,芝麻油,,Ingredient,,调料,,,,,,,,2,mL,False,,,,,
201000031,Ingredient,花生油,花生油,,Ingredient,,调料,,,,,,,,50,mL,False,,,,,
201000032,CookingStep,步骤1,步骤1,,CookingStep,,,,,,,,,,,,,将黑鳕鱼片分别放入密封袋，鱼皮向下放在盘子中。,1.0,切,"密封袋,盘子",
201000033,CookingStep,步骤2,步骤2,,CookingStep,,,,,,,,,,,,,取葱白25g切丝，姜13g去皮后切丝，混合后分成两半，分别放在袋内鱼片上。,2.0,切,"刀,案板",
201000034,CookingStep,步骤3,步骤3,,CookingStep,,,,,,,,,,,,,每个袋子倒入2.5mL料酒。,3.0,倒,量勺,
201000035,CookingStep,步骤4,步骤4,,CookingStep,,,,,,,,,,,,,封好密封袋，放入微波炉，中火（800瓦）微波至不透明且容易散开（约3.5-5分钟），取出鱼片。,4.0,微波,"微波炉,密封袋",3.5-5分钟
201000036,CookingStep,步骤5,步骤5,,CookingStep,,,,,,,,,,,,,去除青葱和姜。,5.0,去料,筷子,
201000037,CookingStep,步骤6,步骤6,,CookingStep,,,,,,,,,,,,,将酱油25mL与芝麻油2mL混合均匀，平均淋在两片鱼片上。,6.0,"混合,淋","小碗,勺子",
201000038,CookingStep,步骤7,步骤7,,CookingStep,,,,,,,,,,,,,取葱绿10g切细丝，姜3g去皮后切丝，混合后分成两份撒在鱼片上。,7.0,"切,撒","刀,案板",
201000039,CookingStep,步骤8,步骤8,,CookingStep,,,,,,,,,,,,,取花生油50mL在小锅中加热至190℃，将热油淋到放葱绿的鱼片上，立刻上桌。,8.0,"加热,淋","小锅,温度计,勺子",
201000040,Recipe,水煮鱼,水煮鱼,,Recipe,,水产,4.0,川菜,5小时30分钟,约20分钟,3至5人,"蔬菜组合可自由调整,土豆需先煮熟,红油豆瓣酱与盐量可按口味调整,切鱼块后90度斜切薄片,腌制时勿用力过猛",dishes\aquatic\水煮鱼.md,,,,,,,,
201000041,Ingredient,巴沙鱼,巴沙鱼,,Ingredient,,蛋白质,,,,,,,,500,g,True,,,,,
201000042,Ingredient,蔬菜（土豆片/豆芽/花菜/生菜等）,蔬菜（土豆片/豆芽/花菜/生菜等）,,Ingredient,,蔬菜,,,,,,,,300-500,g,True,,,,,
201000043,Ingredient,红油豆瓣酱,红油豆瓣酱,,Ingredient,,调料,,,,,,,,40,g,False,,,,,
201000044,Ingredient,豆豉,豆豉,,Ingredient,,调料,,,,,,,,10,g,False,,,,,
201000045,Ingredient,藤椒油,藤椒油,,Ingredient,,调料,,,,,,,,10,ml,False,,,,,
201000046,Ingredient,菜籽油,菜籽油,,Ingredient,,调料,,,,,,,,25,ml,False,,,,,
201000047,Ingredient,白胡椒粉,白胡椒粉,,Ingredient,,调料,,,,,,,,3,g,False,,,,,
201000048,Ingredient,大蒜,大蒜,,Ingredient,,调料,,,,,,,,2,瓣,False,,,,,
201000049,Ingredient,盐,盐,,Ingredient,,调料,,,,,,,,5,g,False,,,,,
201000050,Ingredient,糖,糖,,Ingredient,,调料,,,,,,,,2,g,False,,,,,
201000051,CookingStep,步骤1,步骤1,,CookingStep,,,,,,,,,,,,,巴沙鱼若从冷冻柜取出，放室温自然解冻5小时，再切片处理。,1.0,解冻,,5小时
201000052,CookingStep,步骤2,步骤2,,CookingStep,,,,,,,,,,,,,将巴沙鱼撇成约5cm长、3cm宽的薄片。,2.0,切,刀,
201000053,CookingStep,步骤3,步骤3,,CookingStep,,,,,,,,,,,,,将鱼片放入大不锈钢碗中，加入30g豆瓣酱、3g盐、10ml藤椒油、3g白胡椒粉，用手抓匀后加入5ml菜籽油封味，常温静置至少30分钟入味。,3.0,腌制,大不锈钢碗,30分钟
201000054,CookingStep,步骤4,步骤4,,CookingStep,,,,,,,,,,,,,大蒜切成蒜末；以300g花菜、200g生菜为例，将蔬菜洗净。,4.0,"切,洗","刀,盆",
201000055,CookingStep,步骤5,步骤5,,CookingStep,,,,,,,,,,,,,花菜开水锅焯水备用；生菜洗净晾干后炒熟备用（不用放油）。,5.0,"焯水,炒","锅,漏勺",
201000056,CookingStep,步骤6,步骤6,,CookingStep,,,,,,,,,,,,,热锅冷油（菜籽油20ml），加入10g豆瓣酱、10g豆豉（可选）和蒜末，中火慢炒。,6.0,炒,"炒锅,锅铲",
201000057,CookingStep,步骤7,步骤7,,CookingStep,,,,,,,,,,,,,加入150ml热水，水开后放入腌制好的鱼片，轻轻翻动使其散开，加入2g盐和2g糖调味，水再次沸腾即可盛盘。,7.0,煮,"锅,漏勺",
201000058,CookingStep,步骤8,步骤8,,CookingStep,,,,,,,,,,,,,先将熟蔬菜盛至大碗中，再将热鱼片铺在蔬菜上，浇上锅中剩余热汤即可。,8.0,盛盘,大碗,
201000059,Recipe,清蒸生蚝,清蒸生蚝,,Recipe,"[{'term': '清清蒸生蚝', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '清steamed生蚝', 'language': 'zh', 'language_code': 'zh-CN'}]",水产,3.0,,5分钟,6.5分钟,1人,,dishes\aquatic\清蒸生蚝.md,,,,,,,,
201000060,Ingredient,生蚝,生蚝,,Ingredient,,蛋白质,,,,,,,,6,个,True,,,,,
201000061,Ingredient,饮用水,饮用水,,Ingredient,,其他,,,,,,,,1,升,False,,,,,
201000062,Ingredient,葱,葱,,Ingredient,,蔬菜,,,,,,,,3,颗,False,,,,,
201000063,Ingredient,蒜,蒜,,Ingredient,,蔬菜,,,,,,,,6,瓣,False,,,,,
201000064,Ingredient,姜,姜,,Ingredient,,蔬菜,,,,,,,,1,小块,False,,,,,
201000065,Ingredient,酱油,酱油,,Ingredient,,调料,,,,,,,,6,毫升,False,,,,,
201000066,Ingredient,刷子,刷子,,Ingredient,,工具,,,,,,,,1,把,False,,,,,
201000067,CookingStep,步骤1,步骤1,,CookingStep,,,,,,,,,,,,,将生蚝用刷子刷干净（没有刷子用牙刷）。,1.0,清洗,刷子,
201000068,CookingStep,步骤2,步骤2,,CookingStep,,,,,,,,,,,,,蒸锅中放水，将蒸屉放上之后，将6个生蚝平铺在蒸屉，使用50%功率，蒸3分钟。,2.0,蒸,"蒸锅,蒸屉",3分钟
201000069,CookingStep,步骤3,步骤3,,CookingStep,,,,,,,,,,,,,用右手拿着湿抹布掀开烫锅盖，将每个生蚝的外壳掀开一半去掉，生蚝的凸面向下，平面向上，每个放1根姜丝、10g蒜末放到生蚝上。,3.0,"掀盖,去壳,摆盘","湿抹布,蒸锅",
201000070,CookingStep,步骤4,步骤4,,CookingStep,,,,,,,,,,,,,关上烫锅盖，100%功率蒸3.5分钟。,4.0,蒸,蒸锅,3.5分钟
201000071,CookingStep,步骤5,步骤5,,CookingStep,,,,,,,,,,,,,停火，用右手拿着抹布掀开烫锅盖，每个放5ml酱油。,5.0,"调味,掀盖","抹布,蒸锅",
201000072,CookingStep,步骤6,步骤6,,CookingStep,,,,,,,,,,,,,盛盘。,6.0,装盘,,
201000073,Recipe,红烧鱼,红烧鱼,,Recipe,"[{'term': 'braised鱼', 'language': 'en', 'language_code': 'en-US'}]",水产,4.0,,约10分钟（切配姜蒜辣椒、处理鱼）,约8-10分钟（煎鱼+炖煮+收汁）,1条鱼（1-2人）,"新手建议用鲫鱼,煎鱼前擦干水分防溅油,小火煎鱼防糊,收汁到鱼鳍下位置即可,小米椒最多2个防过辣",dishes\aquatic\红烧鱼.md,,,,,,,,
201000074,Ingredient,鲫鱼,鲫鱼,,Ingredient,,蛋白质,,,,,,,,1,条,True,,,,,
201000075,Ingredient,姜,姜,,Ingredient,,蔬菜,,,,,,,,2,片,False,,,,,
201000076,Ingredient,蒜瓣,蒜瓣,,Ingredient,,蔬菜,,,,,,,,3.5,个,False,,,,,
201000077,Ingredient,干辣椒,干辣椒,,Ingredient,,蔬菜,,,,,,,,2.5,个,False,,,,,
201000078,Ingredient,油,油,,Ingredient,,调料,,,,,,,,40,毫升,False,,,,,
201000079,Ingredient,盐,盐,,Ingredient,,调料,,,,,,,,10,克,False,,,,,
201000080,Ingredient,料酒,料酒,,Ingredient,"[{'term': '黄酒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绍兴酒', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,适量,,False,,,,,
201000081,Ingredient,醋,醋,,Ingredient,,调料,,,,,,,,5,毫升,False,,,,,
201000082,Ingredient,酱油,酱油,,Ingredient,,调料,,,,,,,,5,毫升,False,,,,,
201000083,Ingredient,白砂糖,白砂糖,,Ingredient,,调料,,,,,,,,10,克,False,,,,,
201000084,Ingredient,蚝油,蚝油,,Ingredient,,调料,,,,,,,,5,克,False,,,,,
201000085,Ingredient,葱,葱,,Ingredient,,蔬菜,,,,,,,,1.5,根,False,,,,,
201000086,Ingredient,香菜,香菜,,Ingredient,"[{'term': '芫荽', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '胡荽', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,适量,,False,,,,,
201000087,Ingredient,小米椒,小米椒,,Ingredient,,蔬菜,,,,,,,,1.5,个,False,,,,,
201000088,Ingredient,味精,味精,,Ingredient,,调料,,,,,,,,5,克,False,,,,,
201000089,CookingStep,步骤1,步骤1,,CookingStep,,,,,,,,,,,,,姜蒜切碎，干辣椒切碎，与姜蒜一起备用。,1.0,切,"刀,案板",约3分钟
201000090,CookingStep,步骤2,步骤2,,CookingStep,,,,,,,,,,,,,锅中加入30-50ml油，小火加热至锅热。,2.0,加热,炒锅,约30秒
201000091,CookingStep,步骤3,步骤3,,CookingStep,,,,,,,,,,,,,将擦干水分的鱼放入锅中，小火煎至底部金黄，期间晃动锅防止粘锅。,3.0,煎,"炒锅,锅铲",约2-3分钟
201000092,CookingStep,步骤4,步骤4,,CookingStep,,,,,,,,,,,,,翻面，重复煎另一面至金黄。,4.0,煎,锅铲,约2-3分钟
201000093,CookingStep,步骤5,步骤5,,CookingStep,,,,,,,,,,,,,加入姜蒜辣椒碎，翻炒出香味。,5.0,炒,锅铲,约30秒
201000094,CookingStep,步骤6,步骤6,,CookingStep,,,,,,,,,,,,,倒入适量料酒，迅速产生大量油烟，注意安全。,6.0,炝锅,锅铲,约15秒
201000095,CookingStep,步骤7,步骤7,,CookingStep,,,,,,,,,,,,,加入醋、白砂糖、酱油（老抽），翻炒均匀。,7.0,炒,锅铲,约15秒
201000096,CookingStep,步骤8,步骤8,,CookingStep,,,,,,,,,,,,,加入冷水，刚好淹没鱼身，转中火，盖锅盖1分钟后翻面，再盖锅盖继续炖煮3-4分钟。,8.0,炖,"炒锅,锅盖",约4-5分钟
201000097,CookingStep,步骤9,步骤9,,CookingStep,,,,,,,,,,,,,加入盐、小米椒、蚝油、味精，盖锅盖继续炖煮并适时翻面。,9.0,炖,"锅铲,锅盖",约2-3分钟
201000098,CookingStep,步骤10,步骤10,,CookingStep,,,,,,,,,,,,,汤汁收至鱼鳍下方位置时转小火，加入香菜和葱花，盖锅盖20秒后关火。,10.0,焖,锅盖,20秒
201000099,CookingStep,步骤11,步骤11,,CookingStep,,,,,,,,,,,,,起锅装盘。,11.0,装盘,锅铲,约10秒
201000100,Recipe,红烧鱼头,红烧鱼头,,Recipe,"[{'term': 'braised鱼头', 'language': 'en', 'language_code': 'en-US'}]",水产,4.0,,1-2小时（腌制）+ 15分钟（切配）,约30分钟（炒制+焖煮+收汁）,2人,"使用厚菜刀更安全,花鲢鱼头口感更佳,腌制去腥,收汁提味",dishes\aquatic\红烧鱼头.md,,,,,,,,
201000101,Ingredient,鱼头,鱼头,,Ingredient,,蛋白质,,,,,,,,1,个,True,,,,,
201000102,Ingredient,大葱,大葱,,Ingredient,"[{'term': '葱白', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '韭葱', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,200,g,False,,,,,
201000103,Ingredient,姜,姜,,Ingredient,,蔬菜,,,,,,,,80,g,False,,,,,
201000104,Ingredient,蒜瓣,蒜瓣,,Ingredient,,蔬菜,,,,,,,,3.5,个,False,,,,,
201000105,Ingredient,美人椒,美人椒,,Ingredient,,蔬菜,,,,,,,,0.25,个,False,,,,,
201000106,Ingredient,香菜,香菜,,Ingredient,"[{'term': '芫荽', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '胡荽', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,4,棵,False,,,,,
201000107,Ingredient,八角,八角,,Ingredient,"[{'term': '大料', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '茴香', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,2,个,False,,,,,
201000108,Ingredient,干辣椒,干辣椒,,Ingredient,,调料,,,,,,,,5,个,False,,,,,
201000109,Ingredient,油,油,,Ingredient,,调料,,,,,,,,30,ml,False,,,,,
201000110,Ingredient,盐,盐,,Ingredient,,调料,,,,,,,,7,g,False,,,,,
201000111,Ingredient,鸡精,鸡精,,Ingredient,,调料,,,,,,,,3,g,False,,,,,
201000112,Ingredient,生抽,生抽,,Ingredient,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,15,g,False,,,,,
201000113,Ingredient,老抽,老抽,,Ingredient,"[{'term': '深色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '红烧酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,3,g,False,,,,,
201000114,Ingredient,陈醋,陈醋,,Ingredient,,调料,,,,,,,,3,g,False,,,,,
201000115,Ingredient,黑胡椒粉,黑胡椒粉,,Ingredient,,调料,,,,,,,,2,g,False,,,,,
201000116,Ingredient,料酒,料酒,,Ingredient,"[{'term': '黄酒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绍兴酒', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,15,g,False,,,,,
201000117,Ingredient,清水,清水,,Ingredient,,其他,,,,,,,,500,ml,False,,,,,
201000118,CookingStep,步骤1,步骤1,,CookingStep,,,,,,,,,,,,,葱、姜、蒜、香菜、美人椒分别清洗干净；干辣椒与八角稍微冲洗。,1.0,清洗,"刀,案板,盆",5分钟
201000119,CookingStep,步骤2,步骤2,,CookingStep,,,,,,,,,,,,,大葱切两半：葱白切段约4 cm，葱叶切段后劈四瓣；姜切3 mm片；蒜拍碎；两棵香菜切1.5 cm碎；美人椒切3 mm圈；干辣椒切四段。,2.0,切,"刀,案板",10分钟
201000120,CookingStep,步骤3,步骤3,,CookingStep,,,,,,,,,,,,,鱼头去鳞、清理内脏、剁去鱼鳍、清理鱼鳃，将鱼头下巴与鱼身连接处剁开，鱼身切块，鱼头剁成4-6瓣，再次清洗血水。,3.0,"剁,清洗","菜刀,盆",10分钟
201000121,CookingStep,步骤4,步骤4,,CookingStep,,,,,,,,,,,,,将鱼块放入盆中，加5 g盐、10 g生抽、10 g料酒、切碎的葱叶段、1/3姜片拌匀，静置腌制1-2小时。,4.0,腌制,盆,1-2小时
201000122,CookingStep,步骤5,步骤5,,CookingStep,,,,,,,,,,,,,锅中加30 ml油，小火加热，放入姜片炒至金黄出汁。,5.0,炒,"炒锅,锅铲",1-2分钟
201000123,CookingStep,步骤6,步骤6,,CookingStep,,,,,,,,,,,,,加入葱白段翻炒至略发白，再加入蒜碎、八角、干辣椒翻炒5秒。,6.0,炒,"炒锅,锅铲",30秒
201000124,CookingStep,步骤7,步骤7,,CookingStep,,,,,,,,,,,,,倒入腌制好的鱼头翻炒2-3分钟。,7.0,炒,"炒锅,锅铲",2-3分钟
201000125,CookingStep,步骤8,步骤8,,CookingStep,,,,,,,,,,,,,加入500 ml清水，调入2 g盐、3 g鸡精、5 g生抽、3 g老抽、5 g料酒、2 g黑胡椒粉、3 g陈醋，放入两棵香菜，盖锅盖，大火烧开后转中火慢焖。,8.0,"煮,焖","炒锅,锅盖",15分钟
201000126,CookingStep,步骤9,步骤9,,CookingStep,,,,,,,,,,,,,汤汁减半时开盖，大火收汁至剩余1/3，关火。将汤汁均匀淋在鱼头上，香菜垫底装饰，再放上剩余香菜和美人椒圈。,9.0,"收汁,装盘","锅铲,小盆",5分钟
201000127,Recipe,红烧鲤鱼,红烧鲤鱼,,Recipe,"[{'term': 'braised鲤鱼', 'language': 'en', 'language_code': 'en-US'}]",水产,4.0,鲁菜,约15分钟,约25分钟,2人,"五花肉煸炒出猪油更香,动物油脂提升鱼类香味,炖煮后五花肉可当配菜,鱼类脂肪含量低需猪油增香",dishes\aquatic\红烧鲤鱼.md,,,,,,,,
201000128,Ingredient,鲤鱼,鲤鱼,,Ingredient,,蛋白质,,,,,,,,1000,克,True,,,,,
201000129,Ingredient,五花肉,五花肉,,Ingredient,,蛋白质,,,,,,,,100,克,False,,,,,
201000130,Ingredient,大葱,大葱,,Ingredient,"[{'term': '葱白', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '韭葱', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,200,克,False,,,,,
201000131,Ingredient,姜,姜,,Ingredient,,蔬菜,,,,,,,,80,克,False,,,,,
201000132,Ingredient,蒜瓣,蒜瓣,,Ingredient,,蔬菜,,,,,,,,3.5,个,False,,,,,
201000133,Ingredient,干辣椒,干辣椒,,Ingredient,,调料,,,,,,,,2,个,False,,,,,
201000134,Ingredient,白糖,白糖,,Ingredient,"[{'term': '细砂糖', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绵白糖', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,50,克,False,,,,,
201000135,Ingredient,料酒,料酒,,Ingredient,"[{'term': '黄酒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绍兴酒', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,50,毫升,False,,,,,
201000136,Ingredient,陈醋,陈醋,,Ingredient,,调料,,,,,,,,50,毫升,False,,,,,
201000137,Ingredient,味极鲜,味极鲜,,Ingredient,,调料,,,,,,,,50,毫升,False,,,,,
201000138,Ingredient,老抽,老抽,,Ingredient,"[{'term': '深色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '红烧酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,20,毫升,False,,,,,
201000139,Ingredient,蚝油,蚝油,,Ingredient,,调料,,,,,,,,5,毫升,False,,,,,
201000140,Ingredient,盐,盐,,Ingredient,,调料,,,,,,,,5,克,False,,,,,
201000141,Ingredient,油,油,,Ingredient,,调料,,,,,,,,适量,毫升,False,,,,,
201000142,Ingredient,清水,清水,,Ingredient,,其他,,,,,,,,没过鱼面,毫升,False,,,,,
201000143,CookingStep,步骤1,步骤1,,CookingStep,,,,,,,,,,,,,葱、姜、蒜、干辣椒分别清洗干净。,1.0,清洗,盆,
201000144,CookingStep,步骤2,步骤2,,CookingStep,,,,,,,,,,,,,葱白处切段，每段长度约4cm，再将每段劈为四瓣。,2.0,切,"刀,案板",
201000145,CookingStep,步骤3,步骤3,,CookingStep,,,,,,,,,,,,,姜切片，每片厚度约3mm。,3.0,切,"刀,案板",
201000146,CookingStep,步骤4,步骤4,,CookingStep,,,,,,,,,,,,,一个大蒜拍碎切末，其余蒜切为二瓣。,4.0,"拍,切","刀,案板",
201000147,CookingStep,步骤5,步骤5,,CookingStep,,,,,,,,,,,,,干辣椒切四段。,5.0,切,"刀,案板",
201000148,CookingStep,步骤6,步骤6,,CookingStep,,,,,,,,,,,,,五花肉切片，约4cm×4cm。,6.0,切,"刀,案板",
201000149,CookingStep,步骤7,步骤7,,CookingStep,,,,,,,,,,,,,清洗鱼。,7.0,清洗,盆,
201000150,CookingStep,步骤8,步骤8,,CookingStep,,,,,,,,,,,,,鱼背肉厚处拉几道斜口，方便入味。,8.0,切,"刀,案板",
201000151,CookingStep,步骤9,步骤9,,CookingStep,,,,,,,,,,,,,锅里多倒点油，烧至7成热（刚刚开始冒烟），下入鱼炸1分钟至鱼皮稍稍变硬捞出备用，炸鱼的油倒出，锅里留一点底油。,9.0,炸,"炒锅,锅铲",1分钟
201000152,CookingStep,步骤10,步骤10,,CookingStep,,,,,,,,,,,,,将锅里底油烧热，下入五花肉，煸出香味。,10.0,煸,"炒锅,锅铲",
